# poeAI opening book v1
# format: prefix_usi_moves|bestmove|count
# empty prefix means startpos
7g7f 8b5b 2h7h 5a6b 7f7e 6b7b 7e7d 7c7d 7h7d 7b8b 8i7g 5b7b|7d7b+|159
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 7g7f 8e8f 8g8f 8b8f 7i6h 8f7f|6h7g|157
7g7f 8c8d 2g2f 8d8e 8h7g 4a3b 2f2e 3c3d 7i8h 2b7g+ 8h7g 3a2b|3i3h|155
7g7f 8b5b 2g2f 5a6b 2f2e 3c3d 4i5h 6b7b 6g6f 2b3c 5h6g 5c5d|5i6h|154
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 7a7b 9g9f 5a5b 2e2d 2c2d|2h2d|152
7g7f 5a4b 6i7h 7a7b 7i6h 3a3b 4i5h 6c6d 8h5e 7b6c 6h7g 1c1d|5i6h|151
2g2f 8c8d 6i7h 8d8e 2f2e 4a3b 3i3h 7a7b 9g9f 5a5b 2e2d 2c2d|2h2d|149
2g2f 8c8d 2f2e 4a3b 6i7h 8d8e 3i3h 1c1d 9g9f 7a7b 3g3f 8e8f|8g8f|147
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 8h7g 3c3d 7i7h 2b7g+ 7h7g 3a2b|6i7h|146
2h7h 8c8d 7g7f 8d8e 8h7g 3c3d 6g6f 5a4b 5i4h 1c1d 1g1f 7a6b|7i6h|144
2g2f 8c8d 2f2e 4a3b 6i7h 8d8e 3i3h 7a7b 9g9f 3c3d 2e2d 2c2d|2h2d|143
2h7h 8c8d 7g7f 8d8e 8h7g 3c3d 6g6f 5a4b 1g1f 1c1d 3i3h 7a6b|5i4h|141
2h7h 8c8d 7g7f 8d8e 8h7g 5a4b 1g1f 3c3d 6g6f 1c1d 3i3h 7a6b|5i4h|141
2h7h 8c8d 7g7f 8d8e 8h7g 5a4b 1g1f 1c1d 6g6f 3c3d 3i3h 7a6b|5i4h|140
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i6h 2b3c 2e2d 2c2d|6i7h|138
2g2f 3a4b 2f2e 3c3d 2e2d 2c2d 2h2d 4a3b 2d3d 4b3c 3d3f 5a4a|3f2f|136
5i6h 8c8d 4i5i 8d8e 2h5h 8e8f 8g8f 8b8f 6i7h P*8g P*8b 8f8b|7h8g|136
2g2f 3c3d 7g7f 4c4d 2f2e 2b3c 5i6h 3a3b 6h7h 8b4b 4i5h 5a6b|8h7g|134
2g2f 8c8d 2f2e 4a3b 7g7f 8d8e 8h7g 3c3d 7i7h 2b7g+ 7h7g 3a2b|1g1f|134
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 8e8f 8g8f 8b8f P*8g 8f8b|1g1f|133
2g2f 8c8d 7g7f 8d8e 8h7g 3c3d 7i8h 4a3b 3i3h 7a6b 2f2e 2b7g+|8h7g|133
2g2f 3c3d 7g7f 4c4d 2f2e 2b3c 5i6h 8c8d 6h7h 8b2b 7i6h 5a6b|4i5i|132
2g2f 8c8d 2f2e 4a3b 6i7h 8d8e 3i3h 7a7b 9g9f 8e8f 8g8f 8b8f|P*8g|131
7g7f 3c3d 2g2f 4c4d 2f2e 2b3c 3i4h 8b4b 5i6h 9c9d 6h7h 9d9e|4i5h|131
7g7f 8b5b 2g2f 5a6b 2f2e 3c3d 5i6h 6b7b 9g9f 7b8b 9f9e 5c5d|6h7h|127
2g2f 3c3d 7g7f 4c4d 3i4h 9c9d 5i6h 9d9e 5g5f 8b4b 6h7h 2b3c|8h7g|126
2h7h 8c8d 7g7f 8d8e 8h7g 5a4b 1g1f 1c1d 6g6f 7a6b 5i4h 3c3d|7i6h|125
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 7a7b 2e2d 2c2d 2h2d P*2c|2d2h|124
2g2f 8c8d 7g7f 8d8e 8h7g 3c3d 7i8h 4a3b 2f2e 2b7g+ 8h7g 3a2b|1g1f|124
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2h 3c3d|3i3h|122
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i8h 2b3c 7g3c+ 3b3c|8h7g|122
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 6i7h 8e8f 8g8f 8b8f 2e2d 2c2d|2h2d|122
2g2f 3c3d 7g7f 9c9d 2f2e 9d9e 5i6h 2b8h+ 7i8h 3a2b 3i4h 2b3c|4i5h|121
2h7h 8c8d 7g7f 8d8e 8h7g 3c3d 6g6f 5a4b 1g1f 4b3b 1f1e 2b3c|3i3h|119
7g7f 8c8d 7i6h 3c3d 6h7g 7a7b 2g2f 6c6d 2f2e 4a3b 6i7h 7c7d|2e2d|119
2g2f 3c3d 7g7f 4c4d 2f2e 2b3c 5i6h 3a3b 3i4h 3b4c 4i5h 9c9d|3g3f|118
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 6i7h 8e8f 8g8f 8b8f 7i6h 8f7f|6h7g|118
7g7f 8c8d 7i6h 3c3d 6h7g 7a6b 2g2f 3a4b 2f2e 4b3c 3g3f 4a3b|6i7h|118
2h7h 8c8d 7g7f 8d8e 8h7g 1c1d 1g1f 3c3d 6g6f 5a4b 3i3h 7a6b|5i4h|116
2g2f 8c8d 2f2e 8d8e 7g7f 3c3d 6i7h 8e8f 8g8f 8b8f 2e2d 2b8h+|7i8h|115
2g2f 3c3d 7g7f 4c4d 2f2e 2b3c 5i6h 8b5b 4i5h 5a6b 6h7h 6a7b|3g3f|114
2g2f 8c8d 7g7f 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 6i7h 2b3c|3i3h|114
7g7f 8c8d 2g2f 3c3d 2f2e 8d8e 6i7h 8e8f 8g8f 8b8f 2e2d 2c2d|2h2d|114
2h7h 8c8d 7g7f 5a4b 7f7e 1c1d 1g1f 6c6d 5i4h 7a6b 3i3h 4b3b|4h3i|112
2g2f 8c8d 6i7h 8d8e 2f2e 4a3b 7g7f 8e8f 8g8f 8b8f 2e2d 2c2d|2h2d|111
7g7f 8c8d 2g2f 3c3d 2f2e 4a3b 6i7h 8d8e 2e2d 2c2d 2h2d 8e8f|8g8f|111
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 7a7b 7g7f 8e8f 8g8f 8b8f|2e2d|110
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2h 9c9d|9g9f|109
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 7g7f 3c3d 2e2d 2c2d 2h2d 8e8f|8g8f|109
2h7h 8c8d 7g7f 8d8e 8h7g 3c3d 6g6f 7a6b 1g1f 5a4b 1f1e 6a5b|7i6h|109
2g2f 8c8d 2f2e 4a3b 6i7h 8d8e 3i3h 9c9d 9g9f 7a7b 3g3f 8e8f|8g8f|108
7g7f 8c8d 2g2f 3c3d 2f2e 4a3b 5i5h 8d8e 2e2d 2b8h+ 7i8h 2c2d|2h2d|107
7g7f 8b5b 2g2f 5a6b 5i6h 6b7b 2f2e 3c3d 3i4h 7b8b 6h7h 7a7b|9g9f|106
7g7f 5a6b 2h7h 7a7b 5i4h 4a5b 4h3h 3a4b 7f7e 9c9d 7h7f 2c2d|7f2f|105
7g7f 5a4b 2g2f 3c3d 2f2e 4a3b 2e2d 2c2d 2h2d 2b8h+ 7i8h P*2c|2d2h|104
7g7f 8c8d 2g2f 8d8e 8h7g 3c3d 7i8h 5a4b 6i7h 2b7g+ 8h7g 6a5b|2f2e|104
7g7f 8c8d 7i6h 3c3d 6h7g 7c7d 2g2f 7a6b 2f2e 4a3b 6i7h 6b7c|2e2d|104
2g2f 8c8d 7g7f 3c3d 2f2e 4a3b 6i7h 8d8e 2e2d 2c2d 2h2d 8e8f|8g8f|103
2g2f 8c8d 2f2e 4a3b 6i7h 8d8e 7g7f 8e8f 8g8f 8b8f 2e2d 2c2d|2h2d|102
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 6i7h 3c3d 2e2d 2c2d 2h2d 8e8f|8g8f|102
7g7f 3c3d 2g2f 4c4d 2f2e 2b3c 7i7h 8b4b 9g9f 9c9d 4i5h 7a7b|3i4h|102
7g7f 8c8d 7i6h 3c3d 6h7g 3a4b 2g2f 4a3b 2f2e 4b3c 3g3f 7a6b|6i7h|102
2g2f 8c8d 6i7h 8d8e 7g7f 8e8f 8g8f 8b8f 2f2e 4a3b 2e2d 2c2d|2h2d|100
2g2f 3c3d 7g7f 5c5d 2f2e 8b5b 5i6h 5d5e 3i4h 2b3c 3g3f 5a6b|4h3g|99
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 7a7b 9g9f 9c9d 5i6h 1c1d|3g3f|99
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i6h 2b4d 1g1f 3a2b|1f1e|99
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i6h 5a4b 2e2d 2c2d|2h2d|98
2h7h 8c8d 7g7f 8d8e 8h7g 3c3d 6g6f 1c1d 1g1f 5a4b 3i3h 6a5b|5i4h|98
7g7f 3c3d 6i7h 8c8d 2g2f 4a3b 2f2e 5a4b 2e2d 2c2d 2h2d P*2h|2d2h|98
7g7f 8c8d 7i6h 3c3d 6h7g 7a7b 2g2f 6c6d 2f2e 4a3b 2e2d 2c2d|2h2d|98
2g2f 8c8d 7g7f 8d8e 2f2e 3c3d 6i7h 4a3b 2e2d 2c2d 2h2d 8e8f|8g8f|97
7g7f 3c3d 2g2f 4a3b 2f2e 8c8d 2e2d 2c2d 2h2d P*2h 3i2h 8d8e|6i7h|97
7g7f 8c8d 2g2f 8d8e 8h7g 3c3d 7i8h 4a3b 3i3h 7a6b 2f2e 2b7g+|8h7g|97
7g7f 3c3d 2g2f 4a3b 2f2e 8c8d 5i5h 8d8e 2e2d 2c2d 2h2d P*2h|2d2h|96
2g2f 7a6b 2f2e 4a3b 7g7f 8c8d 6i7h 1c1d 2e2d 2c2d 2h2d P*2c|2d2h|94
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 9g9f 7a7b 3i3h 1c1d 3g3f 8e8f|8g8f|94
7g7f 3c3d 2g2f 5c5d 2f2e 8b5b 4i5h 5a6b 5i6h 5d5e 3i4h 2b3c|6h7h|94
7g7f 3c3d 2g2f 5c5d 2f2e 8b5b 4i5h 5d5e 3i4h 2b3c 5i6h 5a6b|6h7h|94
7g7f 7a6b 2g2f 4a3b 2f2e 8c8d 6i7h 1c1d 8h7g 6c6d 3i3h 3c3d|7i8h|94
7g7f 8c8d 2g2f 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 6i7h 2b3c|3i3h|94
7g7f 8c8d 6i7h 3c3d 2g2f 8d8e 2f2e 4a3b 2e2d 2c2d 2h2d 8e8f|8g8f|94
2g2f 3c3d 7g7f 4c4d 3i4h 9c9d 5i6h 9d9e 4i5h 3a4b 2f2e 2b3c|3g3f|93
2g2f 4a3b 2f2e 8c8d 6i7h 8d8e 3i3h 7a7b 9g9f 8e8f 8g8f 8b8f|P*8g|93
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 5a5b 7g7f 8e8f 8g8f 8b8f|2e2d|93
2g2f 3c3d 7g7f 4c4d 3i4h 8c8d 2f2e 2b3c 3g3f 8d8e 8h7g 3a3b|5i6h|92
2g2f 4a3b 2f2e 8c8d 6i7h 8d8e 3i3h 7a7b 9g9f 5a5b 4g4f 9c9d|3h4g|92
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 7a7b 9g9f 9c9d 5i5h 8e8f|8g8f|92
2g2f 3c3d 7g7f 4c4d 2f2e 2b3c 5i6h 8b3b 6h7h 3a4b 6i6h 3b2b|8g8f|91
2g2f 8c8d 6i7h 8d8e 2f2e 4a3b 9g9f 9c9d 3i3h 7a7b 5i6h 8e8f|8g8f|91
5i4h 8b3b 3i3h 5a6b 1i1h 6b7b 6i5h 3c3d 7i6h 3d3e 1g1f 3b3d|1f1e|91
2g2f 8c8d 7g7f 8d8e 8h7g 3c3d 7i8h 4a3b 6i7h 4c4d 2f2e 2b3c|3i4h|90
7g7f 3c3d 2g2f 4c4d 2f2e 2b3c 7i7h 8c8d 8h7i 3a4b 5g5f 4a3b|2e2d|90
7g7f 4a3b 2g2f 8c8d 6i7h 8d8e 8h7g 3c3d 7i8h 4c4d 2f2e 2b3c|3i4h|90
7g7f 3c3d 2g2f 8c8d 2f2e 4a3b 5i5h 8d8e 2e2d 2c2d 2h2d 8e8f|8g8f|89
2g2f 8c8d 2f2e 8d8e 9g9f 4a3b 3i3h 9c9d 6i7h 1c1d 5i5h 8e8f|8g8f|88
2g2f 8c8d 7g7f 3c3d 2f2e 8d8e 2e2d 2c2d 2h2d 4a3b 6i7h 8e8f|8g8f|88
2h7h 1c1d 1g1f 3c3d 7i6h 8c8d 7g7f 5a4b 6g6f 8d8e 8h7g 7a6b|5i4h|87
7g7f 8c8d 2g2f 8d8e 2f2e 3c3d 6i7h 4a3b 2e2d 2c2d 2h2d 8e8f|8g8f|86
7g7f 3c3d 2g2f 4c4d 2f2e 2b3c 3i4h 3a4b 5i6h 4b4c 4i5h 9c9d|9g9f|85
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 8e8f 8g8f 8b8f 9g9f 7a7b|P*8g|84
7g7f 8b5b 2g2f 5a6b 2f2e 3c3d 9g9f 6b7b 9f9e 5c5d 5i6h 5d5e|3i4h|84
2g2f 3c3d 7g7f 4c4d 3i4h 3a3b 2f2e 2b3c 5i6h 3b4c 4i5h 9c9d|9g9f|83
2g2f 9c9d 2f2e 4a3b 7g7f 8c8d 6i7h 8d8e 8h7g 3c3d 7i8h 2b7g+|8h7g|83
5g5f 8c8d 7g7f 3c3d 5f5e 8d8e 8h7g 7a6b 2h5h 5a4b 5i4h 6a5b|4h3h|83
7g7f 3c3d 6g6f 3a3b 7i7h 7a6b 7h7g 5a4b 6i7h 2b5e 5g5f 5e6d|6f6e|83
7g7f 4a3b 2g2f 3c3d 2f2e 8c8d 6i7h 8d8e 2e2d 2c2d 2h2d 8e8f|8g8f|83
7g7f 8c8d 2g2f 4a3b 6i7h 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a4b|3i3h|83
2g2f 8c8d 2f2e 8d8e 7g7f 3c3d 2e2d 2c2d 2h2d 4a3b 6i7h 8e8f|8g8f|82
2g2f 8c8d 7g7f 4a3b 6i7h 8d8e 8h7g 3c3d 7i6h 4c4d 4g4f 3a4b|3i4h|82
5g5f 8c8d 7g7f 3c3d 5f5e 8d8e 8h7g 7a6b 2h5h 5a4b 5i4h 4b3b|7i6h|82
2g2f 4a3b 7g7f 8c8d 2f2e 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b|1g1f|81
2g2f 8c8d 7g7f 4a3b 6i7h 8d8e 8h7g 3c3d 7i6h 3a4b 7g2b+ 3b2b|6h7g|81
2g2f 8c8d 7g7f 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a4b 3i3h 4b3c|4g4f|81
6i7h 8c8d 7g7f 8d8e 2g2f 8e8f 8g8f 8b8f 2f2e 4a3b 2e2d 2c2d|2h2d|81
2g2f 8c8d 2f2e 4a3b 6i7h 1c1d 7g7f 8d8e 8h7g 3c3d 2e2d 2c2d|2h2d|80
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i8h 3a4b 2e2d 2c2d|2h2d|80
2h7h 8c8d 7g7f 8d8e 8h7g 3c3d 6g6f 6a5b 1g1f 1c1d 3i3h 5a4b|5i4h|80
7g7f 3c3d 2g2f 4c4d 2f2e 2b3c 3i4h 8b2b 5i6h 5a6b 6h7h 6b7b|8h7g|80
7g7f 8c8d 6i7h 8d8e 8h7g 3c3d 7i6h 4a3b 3i3h 7a6b 2g2f 4c4d|4g4f|80
7g7f 8c8d 7i6h 3c3d 6h7g 7a6b 2g2f 3a4b 2f2e 4b3c 3g3f 2b3a|6i7h|80
2g2f 3c3d 7g7f 4c4d 3i4h 9c9d 5i6h 9d9e 4i5h 3a3b 5g5f 8b4b|6h7h|79
7g7f 8c8d 7i6h 3c3d 6g6f 7a6b 5g5f 8d8e 6h7g 6c6d 2g2f 3a3b|2f2e|79
2g2f 4a3b 2f2e 8c8d 6i7h 8d8e 3i3h 7a7b 9g9f 9c9d 3g3f 8e8f|8g8f|78
2h7h 3c3d 7i6h 8c8d 7g7f 1c1d 1g1f 7a7b 6g6f 5a4b 8h7g 6c6d|5i4h|78
2h7h 8c8d 7g7f 8d8e 8h7g 3c3d 6g6f 5a4b 1g1f 4b3b 1f1e 7a6b|7i6h|77
7g7f 3c3d 2g2f 4c4d 7i7h 8b4b 2f2e 2b3c 9g9f 9c9d 4i5h 5a6b|3i4h|77
7g7f 4a3b 2g2f 8c8d 2f2e 8d8e 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b|1g1f|77
7g7f 8b5b 2g2f 5a6b 2f2e 3c3d 4i5h 6b7b 6g6f 2b3c 5h6g 3a4b|5i6h|77
7g7f 8c8d 7i7h 3c3d 7h7g 7a7b 2g2f 6c6d 2f2e 4a3b 6i7h 7c7d|2e2d|76
2g2f 8c8d 2f2e 4a3b 2e2d 2c2d 2h2d P*2c 2d2h 8d8e 6i7h 7a7b|7g7f|75
2g2f 8c8d 2f2e 4a3b 2e2d 2c2d 6i7h 3b2c 7g7f 3c3d 5i6h 2b3c|8h3c+|75
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 2e2d 2c2d 2h2d P*2c 2d2f 8e8f|8g8f|75
2g2f 8c8d 7g7f 8d8e 6i7h 8e8f 8g8f 8b8f 2f2e 4a3b 2e2d 2c2d|2h2d|75
7g7f 3c3d 2g2f 4a3b 2f2e 8c8d 5i5h 2b8h+ 7i8h 3a2b 6i7h 2b3c|3i4h|75
7g7f 3c3d 2g2f 4c4d 2f2e 2b3c 3i4h 3a3b 5i6h 3b4c 4i5h 8b1b|5g5f|74
7g7f 8b5b 2h7h 5a6b 7f7e 6b7b 5i4h 7b8b 4h3h 5c5d 3h2h 3a4b|7i6h|74
2g2f 4a3b 7g7f 3c3d 2f2e 8c8d 6i7h 8d8e 2e2d 2c2d 2h2d 8e8f|8g8f|73
2g2f 8c8d 2f2e 8d8e 6i7h 1c1d 3i3h 4a3b 9g9f 7a7b 3g3f 8e8f|8g8f|73
2g2f 8c8d 7g7f 8d8e 8h7g 3c3d 7i7h 4a3b 2f2e 2b7g+ 7h7g 3a2b|1g1f|73
7g7f 3c3d 2g2f 4a3b 6i7h 5a4b 8h2b+ 3a2b 7i8h B*5e B*4e 2a3c|4e6c+|73
7g7f 3c3d 2g2f 8c8d 2f2e 4a3b 5i5h 2b8h+ 7i8h 3a2b 6i7h 2b3c|3i4h|73
7g7f 8c8d 7i7h 3c3d 7h7g 7c7d 2g2f 7a6b 2f2e 4a3b 2e2d 2c2d|2h2d|73
2g2f 4a3b 2f2e 8c8d 7g7f 8d8e 8h7g 3c3d 7i7h 2b7g+ 7h7g 3a2b|1g1f|72
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 9g9f 7a7b 3i3h 5a5b 2e2d 2c2d|2h2d|72
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 7i6h 8e8f 8g8f 8b8f 6i7h 8f7f|6h7g|72
7g7f 3c3d 2g2f 4c4d 2f2e 2b3c 3i4h 3a3b 5i6h 9c9d 6h7h 9d9e|5g5f|72
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 8h7g 3c3d 7i6h 2b4d 1g1f 3a2b|1f1e|71
2g2f 8c8d 6i7h 8d8e 2f2e 4a3b 9g9f 7a7b 3i3h 5a5b 2e2d 2c2d|2h2d|70
2h7h 8c8d 7g7f 8d8e 8h7g 3c3d 6g6f 1c1d 1g1f 5a4b 3i3h 4b3b|5i4h|70
6i7h 3c3d 7g7f 8c8d 2g2f 4a3b 2f2e 5a4b 2e2d 2c2d 2h2d P*2h|2d2h|70
7g7f 8b5b 2g2f 5a6b 5i6h 6b7b 2f2e 7b8b 6h7h 3c3d 2e2d 2c2d|2h2d|70
7g7f 8c8d 2g2f 4a3b 6i7h 8d8e 8h7g 3c3d 7i8h 3a4b 7g2b+ 3b2b|8h7g|70
7g7f 8c8d 7i6h 3c3d 6h7g 7a6b 2g2f 3a4b 2f2e 4b3c 8h7i 4a3b|3g3f|70
2g2f 8c8d 7g7f 8d8e 8h7g 3c3d 7i7h 4a3b 3i3h 7a6b 2f2e 2b7g+|7h7g|69
7g7f 3c3d 2g2f 4c4d 7i7h 8b4b 2f2e 2b3c 9g9f 9c9d 4i5h 7a7b|3i4h|69
7g7f 8b5b 2h7h 5a6b 5i4h 6b7b 4h3h 7b8b 7f7e 5c5d 7e7d 7c7d|7h7d|69
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 8h7g 3c3d 7i8h 5a4b 2e2d 2c2d|2h2d|69
2g2f 3c3d 7g7f 4c4d 3i4h 9c9d 2f2e 2b3c 3g3f 3a3b 5i6h 3b4c|4i5h|68
7g7f 8c8d 5g5f 8d8e 8h7g 3c3d 5f5e 7a6b 7i6h 7c7d 2h5h 5a4b|5i4h|68
2g2f 4a3b 2f2e 8c8d 6i7h 8d8e 3i3h 1c1d 9g9f 7a7b 3g3f 8e8f|8g8f|67
7g7f 3c3d 2g2f 4a3b 6i7h 8c8d 2f2e 8d8e 2e2d 2c2d 2h2d 8e8f|8g8f|67
7g7f 3c3d 2g2f 4c4d 2f2e 2b3c 3i4h 8b4b 5i6h 5a6b 6h7h 7a7b|4i5h|67
7g7f 3c3d 6g6f 8c8d 2h7h 8d8e 8h7g 5a4b 7i6h 7a6b 5i4h 4b3b|4h3h|67
7g7f 8b5b 2g2f 5a6b 2f2e 6b7b 2e2d 2c2d 2h2d 3c3d 6g6f 4a3b|2d2h|67
2g2f 8c8d 2f2e 8d8e 2e2d 2c2d 6i7h 4a3b 2h2d P*2c 2d2h 7a7b|7g7f|66
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i8h 3a4b 7g2b+ 3b2b|8h7g|66
7g7f 8c8d 7i6h 3c3d 6h7g 7a7b 2g2f 7c7d 2f2e 4a3b 6i7h 6c6d|2e2d|66
2g2f 3c3d 7g7f 4a3b 2f2e 2b8h+ 7i8h 5a4b 2e2d 2c2d 2h2d P*2c|2d2h|65
2g2f 4a3b 2f2e 8c8d 6i7h 8d8e 3i3h 7a7b 9g9f 1c1d 3g3f 8e8f|8g8f|65
5g5f 8c8d 7g7f 8d8e 8h7g 3c3d 2h8h 1c1d 1g1f 5a4b 7i6h 4b3b|5i4h|65
2g2f 3c3d 7g7f 8c8d 6i7h 4c4d 7i6h 4a3b 2f2e 2b3c 8h5e 5c5d|2e2d|64
2g2f 8c8d 6i7h 8d8e 2f2e 4a3b 9g9f 7a7b 3i3h 1c1d 3g3f 8e8f|8g8f|64
7g7f 3c3d 6g6f 8c8d 2h6h 8d8e 8h7g 7a6b 7i7h 5a4b 5i4h 4b3b|4h3h|64
7g7f 8c8d 6i7h 4a3b 2g2f 8d8e 8h7g 3c3d 7i6h 3a4b 7g2b+ 3b2b|6h7g|64
2g2f 3c3d 7g7f 4c4d 3i4h 9c9d 5i6h 3a3b 2f2e 2b3c 4i5h 3b4c|3g3f|63
7g7f 8c8d 2g2f 4a3b 2f2e 8d8e 8h7g 3c3d 7i7h 2b7g+ 7h7g 3a2b|1g1f|63
2g2f 8c8d 2f2e 4a3b 7g7f 8d8e 8h7g 3c3d 7i6h 5a4b 2e2d 2c2d|2h2d|62
6i7h 8c8d 2g2f 8d8e 2f2e 4a3b 9g9f 7a7b 3i3h 1c1d 3g3f 8e8f|8g8f|62
7g7f 3c3d 1g1f 8c8d 6g6f 7a6b 1f1e 5a4b 7i7h 4b3b 8h7g 5c5d|7h6g|62
7g7f 8b5b 2h7h 5a6b 5i4h 6b7b 4h3h 7b8b 7f7e 5c5d 3h2h 3a4b|7i6h|62
7g7f 8c8d 2g2f 3c3d 2f2e 4a3b 5i5h 8d8e 2e2d 2c2d 2h2d 8e8f|8g8f|62
7g7f 8c8d 2g2f 8d8e 8h7g 3c3d 7i8h 4a3b 3i4h 7a6b 3g3f 2b7g+|8h7g|62
7g7f 8c8d 7i6h 3c3d 6g6f 8d8e 6h7g 6c6d 5g5f 3a3b 2g2f 5a4b|6i7h|62
2g2f 3c3d 7g7f 2b8h+ 7i8h 3a2b 3i4h 2b3c 3g3f 9c9d 9g9f 8b4b|8h7g|61
2g2f 4a3b 7g7f 8c8d 2f2e 8d8e 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b|1g1f|61
7g7f 3c3d 2g2f 4c4d 3i4h 9c9d 5g5f 9d9e 4i5h 3a4b 5i6h 4b4c|6h7h|61
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 5i5h 8e8f 8g8f 8b8f P*8g 8f8d|3i3h|60
2g2f 8c8d 7g7f 4a3b 6i7h 8d8e 8h7g 3c3d 7i6h 4c4d 3i4h 3a4b|4g4f|60
7g7f 4a3b 2g2f 8c8d 6i7h 8d8e 8h7g 3c3d 7i6h 3a4b 7g2b+ 3b2b|6h7g|60
7g7f 8c8d 2g2f 4a3b 2f2e 3c3d 5i5h 8d8e 2e2d 2c2d 2h2d 8e8f|8g8f|60
7g7f 8c8d 7i6h 3c3d 6g6f 8d8e 6h7g 7a6b 4i5h 6c6d 5g5f 6d6e|6f6e|60
7g7f 9c9d 2g2f 9d9e 2f2e 3c3d 5i6h 2b8h+ 7i8h 3a2b 3i4h 2b3c|4i5h|60
2g2f 3a4b 2f2e 3c3d 2e2d 2c2d 2h2d 4a3b 2d3d 4b3c 3d3f 8c8d|7g7f|59
2g2f 4a3b 2f2e 8c8d 7g7f 8d8e 6i7h 8e8f 8g8f 8b8f 2e2d 2c2d|2h2d|59
2g2f 8c8d 2f2e 8d8e 9g9f 4a3b 3i3h 7a7b 6i7h 5a5b 2e2d 2c2d|2h2d|59
5i6h 8c8d 6i7h 8d8e 2h5h 5a4b 3i2h 4b3b 4i4h 8e8f 8g8f 8b8f|P*8g|59
7g7f 8c8d 2g2f 4a3b 6i7h 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b|3i3h|59
7g7f 8c8d 2g2f 8d8e 8h7g 3c3d 7i8h 4a3b 6i7h 2b7g+ 8h7g 3a4b|3i3h|59
7g7f 8c8d 7i6h 5a4b 2g2f 3c3d 6h7g 4a3b 6i7h 7a7b 3i4h 7c7d|5i6i|59
2g2f 8c8d 2f2e 4a3b 7g7f 8d8e 8h7g 3c3d 7i8h 5a4b 2e2d 2c2d|2h2d|58
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 7g7f 8e8f 8g8f 8b8f 7i6h 3c3d|6h7g|58
2g2f 8c8d 2f2e 8d8e 9g9f 4a3b 3i3h 7a7b 6i7h 1c1d 3g3f 8e8f|8g8f|58
2g2f 8c8d 2f2e 8d8e 9g9f 4a3b 6i7h 5a5b 3i3h 7c7d 2e2d 2c2d|2h2d|58
7g7f 3c3d 2g2f 4c4d 2f2e 2b3c 3i4h 8b3b 5i6h 3a4b 6h7h 5a6b|8h7g|58
7g7f 4a3b 2g2f 8c8d 2f2e 3c3d 5i5h 8d8e 2e2d 2c2d 2h2d 8e8f|8g8f|58
7g7f 8c8d 2g2f 3c3d 2f2e 8d8e 2e2d 2c2d 2h2d 4a3b 6i7h 8e8f|8g8f|58
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 8h7g 3c3d 7i6h 2b3c 7g3c+ 2a3c|6h7g|58
